accuracy,loss,val_accuracy,val_loss
0.8352941274642944,0.38176894187927246,0.9066666960716248,0.2373560518026352
0.9623529314994812,0.1339600831270218,0.9733333587646484,0.1204899325966835
0.9752941131591797,0.08123575896024704,0.9733333587646484,0.09011552482843399
0.981176495552063,0.06441992521286011,0.9733333587646484,0.10249858349561691
0.981176495552063,0.04869208484888077,0.9733333587646484,0.09949109703302383
0.9870588183403015,0.034584060311317444,0.9733333587646484,0.07801492512226105
0.9917647242546082,0.02740132436156273,0.9733333587646484,0.08905971795320511
0.9929412007331848,0.022454550489783287,0.9733333587646484,0.08132730424404144
0.9952940940856934,0.019343698397278786,0.9800000190734863,0.06909924000501633
0.9941176176071167,0.01792472042143345,0.9733333587646484,0.07687614113092422
0.9941176176071167,0.016680536791682243,0.9733333587646484,0.06555546820163727
0.99647057056427,0.015178350731730461,0.9800000190734863,0.06616689264774323
0.9976470470428467,0.009436976164579391,0.9733333587646484,0.07027909904718399
1.0,0.006106415763497353,0.9800000190734863,0.08344487100839615
1.0,0.005911608226597309,0.9800000190734863,0.07749336957931519
1.0,0.005104176700115204,0.9800000190734863,0.07997696846723557
1.0,0.0055402712896466255,0.9733333587646484,0.09446796774864197
1.0,0.0039509995840489864,0.9800000190734863,0.073584645986557
1.0,0.0031574072781950235,0.9800000190734863,0.08924543112516403
1.0,0.002229314297437668,0.9800000190734863,0.08539288491010666
1.0,0.001906716264784336,0.9800000190734863,0.08829332143068314
1.0,0.0016284165903925896,0.9800000190734863,0.09115687757730484
1.0,0.001578013994731009,0.9733333587646484,0.07679381221532822
1.0,0.0014553159708157182,0.9800000190734863,0.09436054527759552
1.0,0.0012717597419396043,0.9800000190734863,0.08678095787763596
1.0,0.001089529599994421,0.9800000190734863,0.09317672997713089
1.0,0.0010263874428346753,0.9733333587646484,0.08922627568244934
1.0,0.0010066647082567215,0.9800000190734863,0.09964697808027267
1.0,0.0009621207136660814,0.9800000190734863,0.09665621072053909
1.0,0.000800268433522433,0.9800000190734863,0.09445270150899887
1.0,0.0007362074102275074,0.9800000190734863,0.09963632375001907
1.0,0.000692039611749351,0.9800000190734863,0.09737662225961685
1.0,0.000647124950774014,0.9800000190734863,0.10098347067832947
1.0,0.0006071454845368862,0.9800000190734863,0.09348248690366745
1.0,0.0006002769805490971,0.9800000190734863,0.10134200006723404
1.0,0.000556137238163501,0.9800000190734863,0.10398503392934799
1.0,0.0005179705331102014,0.9800000190734863,0.10115590691566467
1.0,0.0004778399888891727,0.9800000190734863,0.10081905126571655
1.0,0.0004475303285289556,0.9800000190734863,0.10444679111242294
1.0,0.00042283502989448607,0.9800000190734863,0.10274403542280197
1.0,0.00040272934711538255,0.9800000190734863,0.10519328713417053
1.0,0.00037649963633157313,0.9800000190734863,0.10674472898244858
1.0,0.0003772179188672453,0.9800000190734863,0.10552595555782318
1.0,0.00034477320150472224,0.9800000190734863,0.10791796445846558
1.0,0.000334619777277112,0.9800000190734863,0.10922977328300476
1.0,0.00031984978704713285,0.9733333587646484,0.10688738524913788
1.0,0.000303322245599702,0.9800000190734863,0.11011746525764465
1.0,0.0002926090091932565,0.9733333587646484,0.106379434466362
1.0,0.00026820373022928834,0.9800000190734863,0.10983558744192123
1.0,0.000263624096987769,0.9800000190734863,0.10833695530891418
